path,bytes,kb,extension,sha256,width,height,format,mode,error
static/images/allen-solly-formal-shirts.webp,4744,4.63,webp,ccde0640399f8b4561cdc4a078ff22c6713289c17dcfa0d56e6e95549bd74fd8,800,800,WEBP,RGB,
static/images/bags-accessories.webp,4628,4.52,webp,d334ca3a7fc5efa575715cdef68b4eb93efeb5947892f3e561cedd4924f78e6a,800,800,WEBP,RGB,
static/images/biba-kids-ethnic-wear.webp,4496,4.39,webp,83e0f4de8994ce075cacfdd3182b56d4a33cb0fe49b4a99a496f81c895e85ade,800,800,WEBP,RGB,
static/images/polaroid-sunglasses.webp,4412,4.31,webp,65c09809d6f359704d46a8fd1b46b090441adb6f88cf4a84ff31ef958374d492,800,800,WEBP,RGB,
static/images/allen-solly-polo-shirts.webp,4356,4.25,webp,57bf5c3e04b5cb678e4910029179476816827977a2ffa6d360aa422b9cb6c318,800,800,WEBP,RGB,
static/images/fabindia-sherwanis.webp,4184,4.09,webp,456eaa8771af97c3240453ab10b0c40f5e85fafb18fd3c544707d5921bd4c7cd,800,800,WEBP,RGB,
static/images/idee-sunglasses.webp,4098,4.0,webp,0ee9c849bdf2a6fdec1a504d8a5ed76102efca6fa7e20afd7b919ac82c993b01,800,800,WEBP,RGB,
static/images/fastrack-watches.webp,4048,3.95,webp,f3ac3be66ef53b6edfe5aa5111bf0cea41128aec37537f0c8cf89ea325482c49,800,800,WEBP,RGB,
static/images/bata-dress-shoes.webp,3942,3.85,webp,676f4efccecadac7afbc699e835873bfeb6929706c61c05b1d091adcc069aa1a,800,800,WEBP,RGB,
static/images/men-s-accessories.webp,3942,3.85,webp,3229a827585009666f886f35eb5a4612ad9527225911d28d346b064075355b58,800,800,WEBP,RGB,
static/images/adidas-sneakers.webp,3906,3.81,webp,a52ddf31d3115f0b89826b17938c9b1553d806caa84e2fa672d1ffb26ae3f084,800,800,WEBP,RGB,
static/images/allen-solly-blazers.webp,3882,3.79,webp,95a930f7808f2f4693e0a56ae1e3273c854fb5244e420dd0052bb15a50f5cfe3,800,800,WEBP,RGB,
static/images/kisah-sherwanis.webp,3850,3.76,webp,6bcd1e2194f54adbcf1d9737129a2877339b320e66467d6c81efc71beea845ae,800,800,WEBP,RGB,
static/images/baggit-wallets.webp,3756,3.67,webp,dcb57ca0274bd2c96fb5b329c5b8a6cb72b2246e74e2efc08cb08a019be10ca5,800,800,WEBP,RGB,
static/images/allen-solly-belts.webp,3658,3.57,webp,984e32498dfbd84d3c3f4311a5cb682d10a021d3555f06e9f1dad0bc7c48119c,800,800,WEBP,RGB,
static/images/casio-watches.webp,3634,3.55,webp,d9c8386d00d71ceeb1267994e9d946de7abdff749fb835ec471cc37618431775,800,800,WEBP,RGB,
static/images/adidas-t-shirts.webp,3502,3.42,webp,e2528049e6d4d7a8ff9cef4dda1e53b60a8c82e69edcdc155100ffb874207ae6,800,800,WEBP,RGB,
static/images/baggit-belts.webp,3494,3.41,webp,17f42181e7a3c80f1874cf33dacd68bd8da94ab4fe6504bfbc69b19aa50340e0,800,800,WEBP,RGB,
static/images/fossil-wallets.webp,3430,3.35,webp,9f3e650df5958dace3d3bb3c2fdca8de6d2b1dde06dd71e9ace87c51035263d2,800,800,WEBP,RGB,
static/images/aurelia-kurtas.webp,3368,3.29,webp,748740edd0efb25885ac4de6c65274a10dc65fdc6d9fbf5e88d78233dc46f6f5,800,800,WEBP,RGB,
static/images/levis-wallets.webp,3340,3.26,webp,a036cde6f09db37621c74a0fb5264186bb055914b575feb2df4c6589b00216ef,800,800,WEBP,RGB,
static/images/sunglasses.webp,3318,3.24,webp,40d719bc92739515d746859bb4689d7ec633d20327c68b5a57fd4da514c3c46a,800,800,WEBP,RGB,
staticfiles/admin/img/selector-icons.b4555096cea2.svg,3291,3.21,svg,d11272aee949fd447d6983fb59bbece6361ac815612e85d1dbacdac0d319d094,,,,,
staticfiles/admin/img/selector-icons.svg,3291,3.21,svg,d11272aee949fd447d6983fb59bbece6361ac815612e85d1dbacdac0d319d094,,,,,
static/images/cargo-pants.webp,3264,3.19,webp,28c21aecb749ac56ceca4831d9738d08ad50c0c94bdca4753225d92e0f7b0f22,800,800,WEBP,RGB,
staticfiles/images/categories/womens.a614c3bda267.jpg,3219,3.14,jpg,733c186ac06ccedded4a0757e2b43b14a753b185079e84a56c2b470c078e0de6,400,300,JPEG,RGB,
